ID,Group
A374,NA_Inbred
A632,NA_Inbred
AK3,EU_Inbred
B37,NA_Inbred
B73,NA_Inbred
B97,NA_Inbred
C103,NA_Inbred
CH10,EU_Inbred
CL18,NA_Inbred
CML103,CIMMYT
CML228,CIMMYT
CML247,CIMMYT
CML254,CIMMYT
CML277,CIMMYT
CML322,CIMMYT
CML333,CIMMYT
CML52,CIMMYT
CML69,CIMMYT
CO255,NA_Inbred
D105,EU_Inbred
D171,EU_Inbred
EM1070,EU_Inbred
EM1174,EU_Inbred
EM1201,EU_Inbred
EM1433,EU_Inbred
EM1712,EU_Inbred
EM1866,EU_Inbred
EM2087,EU_Inbred
EP1,EU_Inbred
F471,EU_Inbred
F48,EU_Inbred
FC13,EU_Inbred
FC16,EU_Inbred
FC24,EU_Inbred
FC25,EU_Inbred
FC26,EU_Inbred
FV2,EU_Inbred
FV252,EU_Inbred
FV283,EU_Inbred
FV286,EU_Inbred
FV331,EU_Inbred
FV4,EU_Inbred
FV7,EU_Inbred
FV71,EU_Inbred
FV75,EU_Inbred
FV79,EU_Inbred
Hp301,NA_Inbred
Il14H,NA_Inbred
Ki11,NA_Inbred
Ki14,NA_Inbred
Ki3,NA_Inbred
Ky21,NA_Inbred
LO3,EU_Inbred
LO32,EU_Inbred
M0191,NA_Inbred
M162W,NA_Inbred
M37W,NA_Inbred
MBS847,NA_Inbred
Mo17,NA_Inbred
Mo18W,NA_Inbred
MS71,NA_Inbred
NC350,NA_Inbred
NC358,NA_Inbred
ND283,NA_Inbred
ND36,NA_Inbred
NYS302,NA_Inbred
Oh43,NA_Inbred
Oh7B,NA_Inbred
P39,NA_Inbred
Pa91,NA_Inbred
PB40R,EU_Inbred
PLS14,EU_Inbred
PLS27,EU_Inbred
PLS42,EU_Inbred
Tx303,NA_Inbred
Tzi8,NA_Inbred
W15,NA_Inbred
W22,NA_Inbred
W401,NA_Inbred
W85,NA_Inbred
PVP_11430,PVP
PVP_207,PVP
PVP_2MA22,PVP
PVP_4676A,PVP
PVP_5707,PVP
PVP_6103,PVP
PVP_764,PVP
PVP_778,PVP
PVP_779,PVP
PVP_78002A,PVP
PVP_78004,PVP
PVP_78010,PVP
PVP_78371A,PVP
PVP_787,PVP
PVP_790,PVP
PVP_792,PVP
PVP_793,PVP
PVP_794,PVP
PVP_807,PVP
PVP_991,PVP
PVP_B47,PVP
PVP_Black_Jewell_85,PVP
PVP_BO9,PVP
PVP_CR1HT,PVP
PVP_FAPW,PVP
PVP_FBHJ,PVP
PVP_Florida_56,PVP
PVP_FR19,PVP
PVP_G80,PVP
PVP_H8431,PVP
PVP_HBA1,PVP
PVP_IB014,PVP
PVP_IB02,PVP
PVP_LH1,PVP
PVP_LH123HT,PVP
PVP_LH132,PVP
PVP_LH145,PVP
PVP_LH146Ht,PVP
PVP_LH149,PVP
PVP_LH150,PVP
PVP_LH156,PVP
PVP_LH38,PVP
PVP_LH39,PVP
PVP_LH51,PVP
PVP_LH52,PVP
PVP_LH54,PVP
PVP_LH57,PVP
PVP_LH59,PVP
PVP_LH60,PVP
PVP_LH65,PVP
PVP_LH74,PVP
PVP_LH82,PVP
PVP_LH85,PVP
PVP_LH93,PVP
PVP_LP1_CMS_HT,PVP
PVP_LP5,PVP
PVP_MBNA,PVP
PVP_MBPM,PVP
PVP_MBST,PVP
PVP_MDF_13D,PVP
PVP_ML606,PVP
PVP_NQ508,PVP
PVP_NS501,PVP
PVP_NS701,PVP
PVP_P737M20,PVP
PVP_PB80,PVP
PVP_PHG35,PVP
PVP_PHG39,PVP
PVP_PHG47,PVP
PVP_PHG50,PVP
PVP_PHG71,PVP
PVP_PHG72,PVP
PVP_PHG83,PVP
PVP_PHG84,PVP
PVP_PHG86,PVP
PVP_PHH93,PVP
PVP_PHJ40,PVP
PVP_PHK05,PVP
PVP_PHK76,PVP
PVP_PHN47,PVP
PVP_PHR25,PVP
PVP_PHR32,PVP
PVP_PHR36,PVP
PVP_PHR47,PVP
PVP_PHT60,PVP
PVP_PHT77,PVP
PVP_PHV63,PVP
PVP_PHV78,PVP
PVP_PHW17,PVP
PVP_PHW52,PVP
PVP_PHW65,PVP
PVP_PHW79,PVP
PVP_PHZ51,PVP
PVP_POP_N_EAT,PVP
PVP_S8324,PVP
PVP_S8326,PVP
TIP454,Teosinte
TIP458,Teosinte
TIP462,Teosinte
TIP466,Teosinte
TIP469,Teosinte
TIP475,Teosinte
TIP485,Teosinte
TIP489,Teosinte
TIP496,Teosinte
TIP498,Teosinte
TIP503,Teosinte
TIP508,Teosinte
TIP512,Teosinte
TIP517,Teosinte
TIP521,Teosinte
TIP523,Teosinte
TIP529,Teosinte
TIP534,Teosinte
